case,run,VB_mm,DOC_mm,feed_mm_min,material,smcAC_mean,smcAC_std,smcDC_mean,vib_table_rms,vib_spindle_rms,ae_table_rms
1,1,0.0,1.5,0.5,1,-0.1643,1.5233,5.4384,1.7897,0.5703,0.1782
1,2,,1.5,0.5,1,-0.1661,1.5578,5.5657,1.7125,0.5694,0.1824
1,3,,1.5,0.5,1,-0.1675,1.5759,5.6364,1.6187,0.5788,0.1838
1,4,0.00011,1.5,0.5,1,-0.1628,1.6306,5.8278,1.5737,0.5235,0.1952
1,5,,1.5,0.5,1,-0.1621,1.8433,6.5547,1.6821,0.4891,0.2054
1,6,0.0002,1.5,0.5,1,-0.1573,2.0075,7.1482,1.0106,0.4698,0.2161
1,7,0.00023999999999999998,1.5,0.5,1,-0.1579,2.0556,7.4906,1.6414,0.4058,0.1953
1,8,0.00029,1.5,0.5,1,-0.1775,2.2569,7.8185,0.9336,0.4144,0.2474
1,9,0.00028000000000000003,1.5,0.5,1,-0.1595,2.3475,7.8552,1.4674,0.4046,0.2577
1,10,0.00029,1.5,0.5,1,-0.1463,2.5163,8.0682,0.8393,0.3774,0.2824
1,11,0.00038,1.5,0.5,1,-0.1548,2.4613,7.9936,0.7667,0.3592,0.2766
1,12,0.0004,1.5,0.5,1,-0.1542,2.6885,8.018,1.2486,0.4502,0.2805
1,13,0.00043,1.5,0.5,1,-0.1531,2.692,8.1169,0.953,0.3716,0.292
1,14,0.00045,1.5,0.5,1,-0.1476,2.7776,8.1551,1.0882,0.3796,0.3074
1,15,0.0005,1.5,0.5,1,-0.1563,2.9221,8.296,0.7445,0.3883,0.3234
1,16,,1.5,0.5,1,-0.1669,2.8278,8.2101,1.0904,0.3677,0.2892
1,17,0.00044,1.5,0.5,1,-0.1475,2.8737,8.28,1.0887,0.3853,0.2965
2,1,8e-05,0.75,0.5,1,3.5280086424329924e+25,1.4589004685175583e+28,-9.446331786610128e+16,1.3595483309014102e+28,5.384472960694027e+32,3.95459638572102e+32
