material,tool_material,coolant,tool_diameter_mm,num_flutes,cutting_speed_m_min,feed_per_tooth_mm,axial_depth_mm,radial_depth_mm,rpm,table_feed_mm_min,mrr_cm3_min,torque_Nm,tool_life_min,machining_time_min,VB_mm
FC250,carbide,mql,10,4,167.8,0.2,1.98,1.35,5342.0,4267.0,11.41,408.06,10.8,8.2,0.2126
SKD11,hss,dry,12,3,104.9,0.048,0.71,0.8,2783.0,397.0,0.23,38.61,5.0,3.2,0.1596
A5052,cbn,oil,20,4,166.3,0.488,3.88,1.51,2647.0,5169.0,30.21,1453.0,71.9,84.9,0.5298
SKD11,cbn,mql,8,3,45.3,0.028,2.86,8.29,1804.0,154.0,3.65,965.75,480.5,30.2,0.0299
FC250,cbn,dry,12,3,139.4,0.059,9.14,7.47,3698.0,650.0,44.35,2290.44,25.1,7.1,0.0895
SKD11,cbn,oil,25,6,99.8,0.142,2.71,5.05,1270.0,1083.0,14.81,5567.66,15.3,10.0,0.2005
SKD11,cermet,water_soluble,12,2,54.4,0.128,1.2,1.37,1444.0,369.0,0.61,200.35,390.4,240.9,0.1455
S45C,cermet,water_soluble,10,4,113.8,0.051,8.25,17.63,3622.0,744.0,108.25,9514.07,55.5,5.9,0.0443
S45C,cermet,mql,20,6,224.5,0.162,1.41,1.88,3573.0,3481.0,9.2,819.51,5.2,4.1,0.1933
A5052,carbide,mql,25,3,191.9,0.371,11.53,17.06,2443.0,2719.0,534.74,27871.47,15.3,10.1,0.1728
SUS304,cermet,water_soluble,12,3,70.2,0.182,2.53,4.5,1861.0,1018.0,11.61,2481.74,161.1,117.3,0.1953
SKD11,cermet,water_soluble,16,3,36.9,0.058,0.65,1.85,735.0,127.0,0.15,99.66,513.3,261.6,0.1544
FC250,cermet,oil,20,2,186.0,0.131,1.66,2.1,2960.0,776.0,2.7,174.2,11.1,9.0,0.1787
SKD11,carbide,mql,10,3,30.6,0.086,1.37,1.3,975.0,253.0,0.45,220.37,483.8,282.9,0.1508
S45C,cermet,water_soluble,10,2,91.0,0.113,2.85,6.1,2898.0,658.0,11.41,1252.95,120.7,144.5,0.5256
SUS304,hss,dry,8,2,55.1,0.077,4.57,3.66,2194.0,340.0,5.68,1030.62,101.9,120.5,0.4981
FC250,cbn,mql,8,3,124.4,0.111,8.13,11.74,4948.0,1641.0,156.55,6042.48,42.8,42.1,0.3118
S45C,cermet,mql,10,3,111.7,0.06,6.11,12.59,3556.0,642.0,49.41,4423.54,49.8,14.3,0.093
FC250,carbide,water_soluble,6,2,127.7,0.179,8.46,17.31,6775.0,2431.0,355.94,10033.74,16.7,11.3,0.1917
FC250,cermet,oil,20,6,197.9,0.179,2.98,8.9,3149.0,3385.0,89.74,5442.36,6.0,6.5,0.3489
S45C,cbn,mql,12,4,203.4,0.274,8.93,21.0,5396.0,5920.0,1109.6,65459.36,5.4,5.3,0.2989
A5052,cermet,oil,8,3,479.0,0.488,4.62,4.58,19061.0,27913.0,589.82,3939.94,4.9,5.9,0.5057
FC250,carbide,oil,6,6,119.0,0.237,6.67,17.07,6316.0,8967.0,1021.27,30883.26,19.9,3.1,0.0563
